name,rate,rank
South Dakota,4.1,1
Nebraska,4.3,2
Utah,4.8,3
North Dakota,5,4
Maine,5.1,5
Iowa,5.2,6
Idaho,5.5,7
Vermont,5.6,8
Kansas,5.8,9
Montana,5.8,9
Wyoming,5.9,11
South Carolina,6,12
Arkansas,6.1,13
Missouri,6.1,13
Minnesota,6.3,15
Oklahoma,6.3,15
Alabama,6.4,17
Wisconsin,6.4,17
Georgia,6.5,19
Kentucky,6.5,19
Maryland,6.5,19
Virginia,6.5,19
New Hampshire,6.7,23
Colorado,6.8,24
North Carolina,7.2,25
Indiana,7.3,26
Tennessee,7.4,27
Delaware,7.5,28
Oregon,7.6,29
Texas,7.7,30
Arizona,7.8,31
Mississippi,7.9,32
New Mexico,7.9,32
Connecticut,8,34
District of Columbia,8,34
Florida,8,34
Ohio,8.2,37
Alaska,8.3,38
West Virginia,8.3,38
Louisiana,8.6,40
Washington,8.7,41
Pennsylvania,8.8,42
Rhode Island,9.2,43
Illinois,9.3,44
Massachusetts,9.3,44
New Jersey,9.5,46
New York,9.8,47
Michigan,10,48
California,10.1,49
Hawaii,11.6,50
Nevada,13.5,51