,id,Title,Rotten_Tomatoes_Rating,IMDB_Rating,Genre,Gross Income,Production Budget
3,3,The Abyss,88.0,7.6,Action,54243125.0,70000000.0
4,4,Ace Ventura: Pet Detective,49.0,6.6,Comedy,72217396.0,12000000.0
6,6,Annie Hall,98.0,8.2,Comedy,38251425.0,4000000.0
7,7,Apocalypse Now,98.0,8.6,Action,78800000.0,31500000.0
8,8,Back to the Future,96.0,8.4,Adventure,210609762.0,19000000.0
9,9,Back to the Future Part II,64.0,7.5,Adventure,118450002.0,40000000.0
10,10,Back to the Future Part III,71.0,7.1,Adventure,87666629.0,40000000.0
12,12,Bad Boys,39.0,6.6,Action,65647413.0,23000000.0
14,14,Ben-Hur,91.0,8.2,Adventure,73000000.0,15000000.0
15,15,Beverly Hills Cop,83.0,7.3,Action,234760478.0,15000000.0
16,16,Big,96.0,7.2,Comedy,114968774.0,18000000.0
19,19,The Bridge on the River Kwai,95.0,8.4,Drama,33300000.0,3000000.0
20,20,Braveheart,77.0,8.4,Drama,75545647.0,72000000.0
22,22,Blazing Saddles,89.0,7.8,Comedy,119500000.0,2600000.0
24,24,Batman Returns,78.0,6.9,Action,162831698.0,80000000.0
25,25,Batman Forever,43.0,5.4,Action,184031112.0,100000000.0
26,26,Batman,71.0,7.6,Action,251188924.0,35000000.0
28,28,Casino Royale,30.0,8.0,Comedy,22744718.0,12000000.0
29,29,Close Encounters of the Third Kind,95.0,7.8,Adventure,166000000.0,20000000.0
30,30,The Cable Guy,52.0,5.8,Comedy,60240295.0,47000000.0
31,31,A Christmas Story,88.0,8.0,Comedy,19294144.0,3250000.0
32,32,Clerks,88.0,7.9,Comedy,3073428.0,27000.0
33,33,Clash of the Titans,65.0,5.9,Adventure,30000000.0,15000000.0
34,34,Casablanca,97.0,8.8,Drama,10462500.0,950000.0
35,35,Casino,81.0,8.1,Drama,42438300.0,52000000.0
37,37,Desperado,61.0,7.0,Action,25532388.0,7000000.0
40,40,Dead Poets' Society,86.0,7.8,Drama,95860116.0,16400000.0
49,49,Edward Scissorhands,91.0,8.0,Comedy,53976987.0,20000000.0
50,50,Ed Wood,91.0,8.1,Comedy,5828466.0,18000000.0
55,55,A Few Good Men,83.0,7.6,Drama,141340178.0,33000000.0
57,57,Forrest Gump,70.0,8.6,Drama,329694499.0,55000000.0
62,62,Goodfellas,97.0,8.8,Drama,46743809.0,25000000.0
65,65,Ghost,81.0,6.9,Drama,217631306.0,22000000.0
66,66,Goldeneye,80.0,7.2,Action,106429941.0,60000000.0
67,67,Glory,93.0,8.0,Action,26593580.0,18000000.0
68,68,Gandhi,85.0,8.2,Drama,52767889.0,22000000.0
69,69,Goldfinger,96.0,7.9,Action,51100000.0,3000000.0
70,70,Groundhog Day,96.0,8.2,Comedy,70906973.0,14600000.0
71,71,Gremlins,78.0,7.0,Comedy,148168459.0,11000000.0
72,72,Gone with the Wind,97.0,8.2,Drama,198680470.0,3900000.0
73,73,Highlander,66.0,7.2,Action,5900000.0,16000000.0
74,74,Home Alone 2: Lost in New York,21.0,5.8,Comedy,173585516.0,20000000.0
75,75,Home Alone,47.0,7.0,Comedy,285761243.0,15000000.0
76,76,Hook,24.0,6.2,Adventure,119654823.0,70000000.0
77,77,Happy Gilmore,58.0,6.9,Comedy,38623460.0,10000000.0
80,80,Independence Day,61.0,6.5,Adventure,306169255.0,75000000.0
82,82,JFK,83.0,8.0,Drama,70405498.0,40000000.0
83,83,Jumanji,48.0,6.4,Adventure,100458310.0,65000000.0
84,84,Jurassic Park,87.0,7.9,Action,357067947.0,63000000.0
86,86,Kindergarten Cop,50.0,5.8,Comedy,91457688.0,26000000.0
88,88,Last Action Hero,38.0,5.9,Action,50016394.0,85000000.0
90,90,AlienÂ³,37.0,6.3,Action,54927174.0,55000000.0
91,91,The Lion King,92.0,8.2,Adventure,328539505.0,79300000.0
92,92,The Last of the Mohicans,97.0,7.8,Action,72455275.0,40000000.0
93,93,Lethal Weapon,90.0,7.6,Action,65192350.0,15000000.0
94,94,Leaving Las Vegas,89.0,7.6,Drama,31983777.0,4000000.0
95,95,Lawrence of Arabia,98.0,8.6,Adventure,37495385.0,15000000.0
96,96,The Mask,75.0,6.6,Comedy,119920129.0,18000000.0
97,97,Mars Attacks!,50.0,6.3,Comedy,37771017.0,80000000.0
98,98,Amadeus,96.0,8.4,Drama,51973029.0,18000000.0
100,100,Mallrats,53.0,7.1,Comedy,2108367.0,6100000.0
101,101,Mrs. Doubtfire,64.0,6.6,Comedy,219195051.0,25000000.0
103,103,Indiana Jones and the Temple of Doom,85.0,7.5,Adventure,179880271.0,28000000.0
104,104,Indiana Jones and the Last Crusade,89.0,8.3,Adventure,197171806.0,48000000.0
105,105,The English Patient,83.0,7.3,Drama,78716374.0,35000000.0
109,109,Philadelphia,74.0,7.6,Drama,77324422.0,26000000.0
112,112,Platoon,86.0,8.2,Drama,137963328.0,6000000.0
113,113,Predator,76.0,7.8,Action,59735548.0,18000000.0
114,114,The Princess Bride,95.0,8.1,Adventure,30857000.0,15000000.0
117,117,Pulp Fiction,94.0,8.9,Drama,107928762.0,8000000.0
119,119,Robin Hood: Prince of Thieves,56.0,6.7,Adventure,165493908.0,50000000.0
120,120,Raging Bull,98.0,8.4,Drama,23380203.0,18000000.0
121,121,RoboCop,88.0,7.6,Action,53424681.0,13000000.0
125,125,Rain Man,87.0,8.0,Comedy,172825435.0,25000000.0
126,126,The Rock,66.0,7.2,Action,134069511.0,75000000.0
127,127,Airplane!,98.0,7.8,Comedy,83453539.0,3500000.0
129,129,Scarface,88.0,8.2,Drama,44942821.0,25000000.0
130,130,Schindler's List,97.0,8.9,Drama,96067179.0,25000000.0
131,131,Spartacus,96.0,8.0,Action,30000000.0,12000000.0
132,132,Stargate,46.0,6.7,Action,71565669.0,55000000.0
134,134,The Shawshank Redemption,88.0,9.2,Drama,28241469.0,25000000.0
136,136,Sling Blade,96.0,8.0,Drama,24475416.0,4833610.0
138,138,Sleepers,73.0,7.3,Drama,53300852.0,44000000.0
139,139,The Usual Suspects,87.0,8.7,Drama,23341568.0,6000000.0
141,141,Spaceballs,65.0,6.9,Comedy,38119483.0,22700000.0
142,142,Stand by Me,94.0,8.2,Drama,52287414.0,8000000.0
145,145,Top Gun,45.0,6.5,Action,176786701.0,15000000.0
147,147,Trainspotting,89.0,8.2,Drama,16501785.0,3100000.0
148,148,True Lies,69.0,7.2,Action,146282411.0,100000000.0
149,149,Terminator 2: Judgment Day,98.0,8.5,Action,204859496.0,100000000.0
150,150,The Terminator,100.0,8.1,Action,38019031.0,6400000.0
152,152,Total Recall,81.0,7.4,Action,119394839.0,65000000.0
153,153,Twister,57.0,6.0,Action,241888385.0,88000000.0
154,154,Taxi Driver,98.0,8.6,Drama,21100000.0,1000000.0
155,155,Toy Story,100.0,8.2,Adventure,191796233.0,30000000.0
156,156,The Untouchables,81.0,8.0,Action,76270454.0,25000000.0
157,157,Who Framed Roger Rabbit?,98.0,7.6,Comedy,154112492.0,70000000.0
158,158,What's Eating Gilbert Grape,88.0,7.8,Drama,9170214.0,11000000.0
159,159,Waterworld,42.0,5.7,Action,88246220.0,175000000.0
161,161,Wayne's World,84.0,6.9,Comedy,121697323.0,20000000.0
166,166,Cloverfield,76.0,7.4,Action,80048433.0,25000000.0
168,168,16 Blocks,55.0,6.7,Action,36895141.0,45000000.0
170,170,21 Grams,81.0,7.9,Drama,16248701.0,20000000.0
171,171,25th Hour,78.0,7.9,Drama,13084595.0,4500000.0
174,174,300,60.0,7.8,Action,210614939.0,60000000.0
176,176,Three Kings,94.0,7.3,Action,60652036.0,48000000.0
180,180,Seven Pounds,27.0,7.6,Drama,69951824.0,54000000.0
181,181,8 Mile,74.0,6.7,Drama,116724075.0,41000000.0
182,182,The Whole Nine Yards,45.0,6.6,Comedy,57262492.0,24000000.0
184,184,A Bug's Life,91.0,7.3,Adventure,162798565.0,45000000.0
185,185,Adaptation,91.0,7.9,Comedy,22498520.0,18500000.0
186,186,Air Force One,78.0,6.3,Action,172956409.0,85000000.0
187,187,Alice in Wonderland,51.0,6.7,Adventure,334191110.0,200000000.0
190,190,Almost Famous,88.0,8.0,Comedy,32522352.0,60000000.0
191,191,Evan Almighty,23.0,5.5,Comedy,100289690.0,175000000.0
192,192,Bruce Almighty,48.0,6.6,Comedy,242704995.0,81000000.0
193,193,Alexander,16.0,5.4,Adventure,34297191.0,155000000.0
194,194,American Beauty,89.0,8.6,Drama,130058047.0,15000000.0
196,196,American History X,83.0,8.6,Drama,6719864.0,10000000.0
197,197,American Gangster,79.0,7.9,Drama,130164645.0,100000000.0
199,199,American Pie 2,52.0,6.2,Comedy,145096820.0,30000000.0
200,200,American Wedding,56.0,6.1,Comedy,104354205.0,55000000.0
201,201,American Pie,59.0,6.9,Comedy,101800948.0,12000000.0
205,205,Anger Management,43.0,6.1,Comedy,135560942.0,56000000.0
206,206,Analyze This,68.0,6.6,Comedy,106885658.0,30000000.0
207,207,Apocalypto,64.0,7.9,Adventure,50866635.0,40000000.0
208,208,King Arthur,31.0,6.2,Adventure,51877963.0,90000000.0
211,211,Atonement,83.0,7.9,Drama,50980159.0,30000000.0
214,214,Austin Powers in Goldmember,54.0,6.2,Comedy,213117789.0,63000000.0
216,216,The Aviator,88.0,7.6,Drama,102608827.0,110000000.0
218,218,Babel,69.0,7.6,Drama,34302837.0,20000000.0
219,219,Bad Boys II,24.0,6.2,Action,138540870.0,130000000.0
221,221,Batman Begins,84.0,8.3,Action,205343774.0,150000000.0
222,222,The Curious Case of Benjamin Button,72.0,8.0,Drama,127509326.0,160000000.0
224,224,Blood Diamond,62.0,8.0,Action,57377916.0,100000000.0
227,227,Beowulf,70.0,6.6,Adventure,82195215.0,150000000.0
228,228,Big Fish,77.0,8.1,Drama,66432867.0,70000000.0
229,229,Before Sunset,95.0,8.0,Drama,5792822.0,2000000.0
230,230,The Big Lebowski,78.0,8.2,Comedy,17498804.0,15000000.0
231,231,Black Hawk Down,76.0,7.7,Action,108638745.0,95000000.0
234,234,Blade,55.0,7.0,Action,70141876.0,45000000.0
237,237,Blades of Glory,69.0,6.5,Comedy,118594548.0,61000000.0
238,238,The Blind Side,66.0,7.7,Drama,255959475.0,35000000.0
239,239,Legally Blonde,67.0,6.2,Comedy,96493426.0,18000000.0
240,240,Blow,54.0,7.4,Drama,52990775.0,30000000.0
241,241,A Beautiful Mind,78.0,8.0,Drama,170708996.0,78000000.0
242,242,The Boondock Saints,19.0,7.8,Action,30471.0,7000000.0
243,243,The Book of Eli,47.0,6.9,Action,94835059.0,80000000.0
245,245,Boogie Nights,92.0,7.9,Drama,26410771.0,15000000.0
246,246,The Bourne Identity,82.0,7.7,Action,121468960.0,60000000.0
247,247,The Bourne Supremacy,81.0,7.6,Action,176087450.0,85000000.0
248,248,The Bourne Ultimatum,93.0,8.2,Action,227471070.0,130000000.0
250,250,Brokeback Mountain,87.0,7.8,Drama,83043761.0,13900000.0
251,251,In Bruges,80.0,8.1,Comedy,7800825.0,15000000.0
252,252,Bad Santa,77.0,7.3,Comedy,60060328.0,18000000.0
253,253,Inglourious Basterds,88.0,8.4,Action,120831050.0,70000000.0
255,255,Batman & Robin,11.0,3.5,Action,107325195.0,125000000.0
256,256,Capote,90.0,7.6,Drama,28750530.0,7000000.0
257,257,Cars,74.0,7.5,Comedy,244082982.0,70000000.0
258,258,Cast Away,89.0,7.5,Drama,233632142.0,85000000.0
259,259,Charlie and the Chocolate Factory,82.0,7.1,Comedy,206459076.0,150000000.0
261,261,Charlie's Angels,67.0,5.5,Adventure,125305545.0,90000000.0
264,264,Chicken Run,96.0,7.3,Adventure,106793915.0,42000000.0
266,266,Chocolat,62.0,7.3,Drama,71309760.0,25000000.0
267,267,Cinderella Man,80.0,8.0,Drama,61649911.0,88000000.0
268,268,City of Angels,59.0,6.4,Drama,78750909.0,55000000.0
269,269,Cold Mountain,70.0,7.3,Drama,95632614.0,80000000.0
270,270,Clerks II,63.0,7.7,Comedy,24148068.0,5000000.0
271,271,Constantine,46.0,6.7,Action,75976178.0,75000000.0
272,272,Collateral,86.0,7.8,Action,100170152.0,60000000.0
273,273,Con Air,57.0,6.6,Action,101117573.0,80000000.0
274,274,Contact,67.0,7.3,Drama,100920329.0,90000000.0
275,275,Crank,61.0,7.1,Action,27838408.0,12000000.0
276,276,The Count of Monte Cristo,74.0,7.6,Drama,54228104.0,40000000.0
277,277,Cruel Intentions,47.0,6.7,Drama,38230075.0,11000000.0
279,279,Charlie Wilson's War,81.0,7.3,Drama,66661095.0,75000000.0
280,280,Daredevil,44.0,5.5,Action,102543518.0,80000000.0
282,282,Donnie Darko,84.0,8.3,Drama,1270522.0,4500000.0
284,284,Deep Blue Sea,57.0,5.6,Action,73648228.0,60000000.0
286,286,Live Free or Die Hard,82.0,7.5,Action,134529403.0,110000000.0
288,288,Dogma,68.0,7.3,Comedy,30651422.0,10000000.0
289,289,Donnie Brasco,87.0,7.7,Drama,41954997.0,35000000.0
290,290,Deep Impact,47.0,6.0,Adventure,140464664.0,80000000.0
291,291,The Departed,93.0,8.5,Drama,133311000.0,90000000.0
292,292,Death Race,41.0,6.6,Action,36316032.0,65000000.0
299,299,Elf,84.0,6.8,Comedy,173398518.0,32000000.0
300,300,Once Upon a Time in Mexico,68.0,6.2,Action,56330657.0,29000000.0
302,302,End of Days,11.0,5.4,Action,66889043.0,100000000.0
303,303,Enemy at the Gates,53.0,7.4,Drama,51396781.0,85000000.0
304,304,Enemy of the State,70.0,7.2,Action,111549836.0,85000000.0
306,306,Epic Movie,2.0,2.2,Comedy,39739367.0,20000000.0
307,307,Eragon,16.0,5.0,Adventure,75030163.0,100000000.0
308,308,Erin Brockovich,83.0,7.2,Drama,125548685.0,50000000.0
309,309,Eternal Sunshine of the Spotless Mind,93.0,8.5,Comedy,34366518.0,20000000.0
310,310,Eurotrip,46.0,6.5,Comedy,17718223.0,25000000.0
312,312,Eyes Wide Shut,78.0,7.2,Drama,55691208.0,65000000.0
313,313,Face/Off,93.0,7.3,Action,112276146.0,80000000.0
314,314,Fear and Loathing in Las Vegas,47.0,7.6,Comedy,10680275.0,18500000.0
315,315,The Fifth Element,72.0,7.4,Action,63570862.0,95000000.0
316,316,Fantastic Four,27.0,5.7,Action,154696080.0,87500000.0
317,317,2 Fast 2 Furious,36.0,5.1,Action,127120058.0,76000000.0
318,318,The Fast and the Furious,53.0,6.0,Action,144512310.0,38000000.0
321,321,Fight Club,81.0,8.8,Drama,37030102.0,65000000.0
323,323,Flags of Our Fathers,73.0,7.2,Drama,33602376.0,53000000.0
324,324,United 93,91.0,7.8,Drama,31567134.0,18000000.0
325,325,Finding Nemo,98.0,8.2,Adventure,339714978.0,94000000.0
326,326,The Fountain,51.0,7.4,Drama,10144010.0,35000000.0
328,328,Serenity,81.0,8.0,Action,25514517.0,39000000.0
329,329,The Full Monty,95.0,7.2,Comedy,45950122.0,3500000.0
331,331,Gangs of New York,75.0,7.4,Drama,77730500.0,97000000.0
332,332,Gattaca,82.0,7.8,Drama,12532777.0,36000000.0
333,333,Ghost Rider,26.0,5.2,Action,115802596.0,120000000.0
335,335,Gladiator,77.0,8.3,Action,187683805.0,103000000.0
336,336,The Green Mile,77.0,8.4,Drama,136801374.0,60000000.0
337,337,"Gandhi, My Father",40.0,8.1,Drama,240425.0,5000000.0
339,339,Godzilla,25.0,4.8,Action,136314294.0,125000000.0
